"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 20, -3, -3]"
"[-92, 1, 1, 0, 19, -3, -3]"
"[-91, 2, 1, 0, 17, -2, -3]"
"[-90, 8, -3, 1, 15, -2, -3]"
"[-90, 12, -4, 2, 14, -2, -3]"
"[-90, 11, -4, 2, 14, -2, -3]"
"[-89, 8, -2, 2, 15, -2, -3]"
"[-87, 7, -1, 2, 15, -2, -3]"
"[-86, 7, 1, 2, 15, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 7, 1, 2, 19, -2, -3]"
"[-86, 6, 1, 2, 19, -2, -3]"
"[-86, 3, 1, 2, 20, -2, -3]"
"[-86, 1, 1, 1, 20, -2, -3]"
"[-86, 1, 1, 0, 20, -3, -3]"
"[-86, 1, 1, 0, 21, -3, -3]"
"[-86, 1, 1, 0, 21, -3, -3]"
"[-86, 1, 1, 0, 20, -3, -3]"
"[-86, 5, 0, 0, 18, 1, -3]"
"[-86, 14, -7, 0, 15, 3, -3]"
"[-86, 26, -17, 0, 14, 4, -3]"
"[-86, 36, -28, 0, 14, 4, -3]"
"[-86, 41, -35, 0, 14, 4, -3]"
"[-86, 43, -38, 0, 14, 4, -3]"
"[-86, 43, -39, 3, 16, 4, -3]"
"[-86, 43, -39, 8, 20, 4, -3]"
"[-86, 43, -39, 10, 20, 4, -3]"
"[-86, 44, -45, 8, 26, -2, -3]"
"[-86, 46, -57, 4, 38, -3, -3]"
"[-86, 51, -70, -1, 46, 1, -3]"
"[-86, 55, -81, -2, 50, 1, -3]"
"[-86, 59, -88, -1, 54, -3, -3]"
"[-86, 63, -95, 2, 59, -7, -3]"
"[-86, 67, -101, 5, 61, -11, -3]"
"[-86, 71, -107, 8, 63, -15, -3]"
"[-86, 75, -114, 9, 65, -18, -3]"
"[-86, 78, -118, 8, 65, -20, -3]"
"[-86, 79, -120, 5, 63, -20, -3]"
"[-86, 78, -120, 1, 62, -19, 0]"
"[-86, 78, -120, -1, 63, -18, 20]"
"[-86, 78, -120, -6, 63, -15, 55]"
"[-86, 78, -120, -8, 62, -11, 68]"
"[-86, 78, -120, -8, 62, -9, 70]"
"[-86, 78, -120, -7, 61, -10, 70]"
